[2016-05-27 16:14:01,549] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/friend/unfollowFriend.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.app1.friend.FriendController.unfollowFriend(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.AddFriend)
[2016-05-27 16:14:01,550] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/login/getSms.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.app1.login.AppLoginController.getSms(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.GetSmsParam)
[2016-05-27 16:14:01,552] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/login/verifyCode.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.app1.login.AppLoginController.verifyCode(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.VerifyCodeParam)
[2016-05-27 16:14:01,554] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/me/getInfo.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.vo.UserInfoVo com.lami.tuomatuo.controller.app1.me.MeController.getInfo(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.LoginParam)
[2016-05-27 16:14:01,555] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/me/uploadUserPosition.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.lami.tuomatuo.controller.app1.me.MeController.updateUserPosition(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.UploadUserPosition)
[2016-05-27 16:14:01,556] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/me/uploadUserPositionToMem.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.lami.tuomatuo.controller.app1.me.MeController.uploadUserPositionToMem(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.UploadUserPosition)
[2016-05-27 16:14:01,557] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/me/updateUserInfo.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.app1.me.MeController.updateUserInfo(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.UpdateUserInfoParam)
[2016-05-27 16:14:01,559] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/app1/qiniu/callbackUrl.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.lami.tuomatuo.controller.app1.qiniu.QiniuController.getInfo(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2016-05-27 16:14:01,560] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/crawler/chanyouji/initChanYouJiAccount.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.crawler.ui.ChanYouJiAccountController.initHuPuAccount(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.crawler.CrawlerUIAccountParam)
[2016-05-27 16:14:01,563] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/crawler/hupu/initHuPuAccount.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.crawler.ui.HuPuAccountController.initHuPuAccount(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.crawler.CrawlerUIAccountParam)
[2016-05-27 16:14:01,565] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/crawler/ui/initUIAccount.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.lami.tuomatuo.model.base.Result com.lami.tuomatuo.controller.crawler.ui.UIAccountController.getDynamic(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.lami.tuomatuo.model.po.crawler.CrawlerUIAccountParam)
[2016-05-27 16:14:01,567] INFO  main (AbstractHandlerMethodMapping.java:220) - Mapped "{[/isLive.form],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public void com.lami.tuomatuo.controller.HomeController.isLive(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
[2016-05-27 16:14:01,930] INFO  main (RequestMappingHandlerAdapter.java:523) - Looking for @ControllerAdvice: org.springframework.context.support.GenericApplicationContext@2a99e698: startup date [Fri May 27 16:13:58 CST 2016]; root of context hierarchy
[2016-05-27 16:14:02,016] INFO  main (RequestMappingHandlerAdapter.java:523) - Looking for @ControllerAdvice: org.springframework.context.support.GenericApplicationContext@2a99e698: startup date [Fri May 27 16:13:58 CST 2016]; root of context hierarchy
[2016-05-27 16:14:02,279] INFO  main (DefaultLifecycleProcessor.java:341) - Starting beans in phase 2147483647
[2016-05-27 16:14:02,279] INFO  main (SchedulerFactoryBean.java:647) - Starting Quartz Scheduler now
[2016-05-27 16:14:02,309] INFO  Thread-3 (AbstractApplicationContext.java:862) - Closing org.springframework.context.support.GenericApplicationContext@2a99e698: startup date [Fri May 27 16:13:58 CST 2016]; root of context hierarchy
[2016-05-27 16:14:02,310] INFO  Thread-3 (DefaultLifecycleProcessor.java:356) - Stopping beans in phase 2147483647
[2016-05-27 16:14:02,328] INFO  Thread-3 (SchedulerFactoryBean.java:765) - Shutting down Quartz Scheduler
